day,q00,q11,r,h,rmse,hit,pnl,pos
-1,0.1,0.1,4.0,15,3.6004453712139313,0.2521362898864251,76391.5,80
-1,0.1,0.1,4.0,20,4.4527233608204915,0.24532179556517036,76127.0,80
-1,0.1,0.1,4.0,25,5.343428963918859,0.2413196322336398,75896.0,80
-1,0.1,0.1,8.0,10,2.378700438453463,0.3076257436452136,78084.5,80
-1,0.1,0.1,8.0,12,2.635596676426125,0.29843158464034614,77685.5,80
-1,0.1,0.1,8.0,15,3.003145547876004,0.28826392644672794,77283.0,80
-1,0.1,0.1,8.0,20,3.6468390834266806,0.27777176852352625,76982.5,80
-1,0.1,0.1,8.0,25,4.32950119056448,0.27290427257977284,76782.5,80
-1,0.2,0.001,1.0,10,1.619279300663982,0.38009734991887506,79914.0,80
-1,0.2,0.001,1.0,12,1.6791526406923036,0.37079502433747974,79658.5,80
-1,0.2,0.001,1.0,15,1.751162462406758,0.3600865332612223,79471.0,80
-1,0.2,0.001,1.0,20,1.889663092517462,0.35586803677663603,79399.5,80
-1,0.2,0.001,1.0,25,2.0539851487339367,0.3547863710113575,79386.5,80
-1,0.2,0.001,2.0,10,1.5322886096079344,0.39232017306652245,80088.0,80
